"Speaker","Text","Page","speaker_id"
"Mrs Summer","ernsthaft aneinander geraten. Obwohl meine astrologischen","10","1205"
"Mrs Summer","Analysen für manche Personen nicht leicht zu schlucken waren.","10","1205"
"Bob","Deuten Sie auch privat für andere Menschen das Schicksal aus","10","4"
"Bob","den Sternen?","10","4"
"Mrs Summer","Allerdings, allerdings. Draußen dämmert es bereits. Ich zünde","10","1205"
"Mrs Summer","die Kerzen an.","10","1205"
"REGIE","*Schritte; Streichhölzer klappern und werden entzündet*","10","0"
"Justus","Ist es nicht seltsam, dass diese unbekannte Person die","10","2"
"Justus","Unverfrorenheit besaß, sich am helllichten Tag mit ""Come In"" auf","10","2"
"Justus","Ihr Grundstück zu wagen, obwohl überall auf dem Gelände","10","2"
"Justus","Kameras installiert sind?","10","2"
"Mrs Summer","Was willst du damit sagen?","10","1205"
"Justus","Derjenige, der den toten Kater im Gebüsch aufgehängt hat, muss","10","2"
